date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
44336,15.2,12.5,17.2,1.1,,,8.6,,1015.2,
44337,14.6,13.5,17.4,5.4,,,15.6,,1011,
44338,13.8,12.8,14.8,70.1,7,,11,,997.4,
44339,12.9,11.1,15,1.6,,,20,,1009.5,
44340,12.9,7.6,18.7,,,,9.7,,1014,
44341,13.3,8.5,19.7,,,,5.7,,1016.2,
44342,13.3,6.6,21,,,,6.8,,1016,
44343,16.8,11.1,23,,,,8.4,,1009.9,
44344,16.9,13.3,23,,,,8.5,,1003,
44345,12.3,6.9,21.6,,,,8.3,,1014.2,
44346,10.4,5.1,16.5,,,,4,,1019.7,
44347,15.2,10.5,20.8,,,,8,,1014.9,
44348,16.3,12.6,21,0.2,,,11.3,,1009.4,
44349,14.7,11.6,18.3,,,,8.6,,1014,
44350,13.5,7.1,19.8,,,,8,,1014.8,
44351,17.3,15.5,19.9,,,,5,,1009.9,
44352,14.7,12,19.9,0.2,,,8.1,,1014.4,
44353,10.7,3.9,16.6,,,,5.9,,1022.2,
44354,12.9,10.6,15.8,,,,7.8,,1021.7,
44355,15.5,13.4,18.5,,,,8,,1019.9,
44356,16.5,13.8,18.5,0.8,,,5.1,,1018.1,
44357,15.7,12,20.6,,,,7.8,,1018.9,
44358,11.4,4.5,20.6,,,,6.3,,1020.6,
44359,16.1,10.6,23.4,,,,7,,1015.8,
44360,17.3,11.6,23.9,,,,11.7,,1016.3,
44361,14.9,11.8,23,,,,8.9,,1019.9,
44362,9.4,4.5,17.5,,,,7.8,,1028.5,
44363,7.3,4.5,13.1,,,,7,,1030.5,
44364,7.2,3.6,11.4,,,,6.3,,1030.2,
44365,6.3,1.9,11.7,,,,4.4,,1029,
44366,7.1,2.5,13.2,,,,3.9,,1027.4,
44367,7.9,3.1,13.5,,,,3.4,,1024,
44368,10.1,3.1,13.6,,,,5.3,,1023,
44369,13.3,11.7,15.2,,,,7.2,,1022.8,
44370,14,12.7,16,,,,9,,1015.5,
44371,13.8,11.7,17.5,9,,,8.2,,1009.8,
44372,11.9,7.2,18.2,,,,5.1,,1014.7,
44373,11.3,7.2,18.2,,,,12,,1015.1,
44374,6.9,5.2,14.7,1,,,11.9,,1019.2,
44375,7.6,5.7,9.2,,,,12.4,,1021.7,
44376,8,5.7,9.7,0,,,10.1,,1026.1,
44377,7.5,3.8,10.7,,,,8.4,,1026.7,
44378,9.2,6.5,12.5,,,,9.3,,1022.3,
44379,10,6.7,15,,,,7.7,,1020.8,
44380,10.9,3.6,19.9,,,,5.7,,1023.7,
44381,10.9,4.1,19.9,,,,4.6,,1023.3,
44382,10.7,4.7,17.6,,,,3.9,,1024.3,
44383,11.2,5.4,17.5,,,,8.8,,1020.1,
44384,15.2,12.3,18,,,,5.9,,1017.1,
44385,15.5,10.2,21,,,,6.8,,1017.2,
44386,18.9,14.8,23.4,9,,,9.1,,1014.2,
44387,16.8,9.8,23.4,,,,8.9,,1016.5,
44388,10.6,4,17.2,,,,4.5,,1018.5,
44389,15.3,12.8,18.2,15.1,,,4.8,,1013.2,
44390,13.9,10.2,18.2,0,,,7.4,,1017.2,
44391,11.1,9.3,15.5,0,,,10.3,,1018.7,
44392,11.9,9.4,16.7,4.1,,,4.6,,1018.8,
44393,10.4,4.8,16.7,0,,,6.3,,1016.4,
44394,10.2,6.3,16.1,,,,11.3,,1018.1,
44395,8.7,5,14,,,,18.9,,1023.4,
44396,7.7,2.4,14,,,,4.6,,1025.9,
44397,11,5.7,18.3,,,,9.5,,1021.2,
44398,12.5,6.7,18.3,,,,8.2,,1021.7,
44399,14.1,8.7,18.3,,,,8.3,,1021.8,
44400,16.9,12.5,24.4,,,,6.5,,1016.2,
44401,15,12.7,24.5,,,,10.1,,1013.6,
44402,15.3,12.8,17.2,32,,,12.6,,1008.4,
44403,12.1,7.6,17.3,0,,,5.8,,1016.8,
44404,8.2,4,16.5,,,,17.8,,1021,
44405,7.9,3.8,11.8,,,,15.2,,1025.4,
44406,8.1,2.1,14.4,,,,5.6,,1027.5,
44407,11.1,6.4,17.1,,,,12.8,,1025.5,
44408,11.2,5.3,18.1,,,,5.6,,1027.8,
44409,10.1,4.2,18.3,,,,3,,1031.7,
44410,10.3,5.6,17.9,,,,4.3,,1030.2,
44411,12,8.2,17.6,,,,5.1,,1028.7,
44412,11.3,6,18.4,,,,5.6,,1029.7,
44413,11.5,9,17.3,,,,8,,1026.5,
44414,16,10.2,21.5,,,,9.6,,1020.4,
44415,19.1,15.3,24.8,,,,8.1,,1014.1,
44416,13.6,8.3,24.8,,,,14.1,,1017.7,
44417,8.4,6.5,13.2,45,,,14.2,,1024.2,
44418,6.9,2.8,11,,,,9,,1026.5,
44419,8.5,2.8,16.5,,,,7.8,,1028.2,
44420,8.6,3.2,16.5,,,,6.8,,1030.4,
44421,9.8,5,13.7,,,,5.3,,1028.5,
44422,11.5,6.8,18,,,,4.1,,1023.2,
44423,10.8,6.4,18.7,,,,4.3,,1019.9,
